epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,17051.4,0.62497,0.40509,0.94331,0.95231,0.91849,0.95788,0.80237,0.58921,0.33358,0.91083,0.002674,0.002674,0.002674
76,17269.9,0.6267,0.4018,0.94363,0.95361,0.91774,0.9579,0.80298,0.58892,0.33325,0.91097,0.002575,0.002575,0.002575
77,17487.8,0.61776,0.39676,0.94123,0.95255,0.91866,0.95786,0.80314,0.58857,0.33284,0.91107,0.002476,0.002476,0.002476
78,17705.8,0.61738,0.39642,0.93981,0.95192,0.91885,0.95798,0.80316,0.5882,0.33204,0.91093,0.002377,0.002377,0.002377
79,17923.9,0.61417,0.39185,0.94086,0.95154,0.9185,0.95776,0.80419,0.58807,0.33134,0.91108,0.002278,0.002278,0.002278
80,18143.3,0.60502,0.38602,0.93639,0.95103,0.91807,0.95756,0.80423,0.58748,0.33093,0.91091,0.002179,0.002179,0.002179
81,18362.9,0.60823,0.38829,0.9382,0.95047,0.91793,0.95716,0.80446,0.58677,0.33048,0.91057,0.00208,0.00208,0.00208
82,18585.1,0.60251,0.3822,0.93363,0.95215,0.91812,0.95714,0.80479,0.58669,0.33061,0.91035,0.001981,0.001981,0.001981
83,18804.5,0.6009,0.38066,0.93107,0.95177,0.91827,0.95675,0.80446,0.58621,0.33024,0.91007,0.001882,0.001882,0.001882
84,19024.4,0.59276,0.37734,0.93049,0.9503,0.91921,0.95679,0.80392,0.58595,0.32976,0.90996,0.001783,0.001783,0.001783
85,19243.7,0.59249,0.37349,0.92805,0.95101,0.91785,0.95674,0.80421,0.58569,0.32942,0.91006,0.001684,0.001684,0.001684
86,19462.8,0.58356,0.37006,0.92689,0.95178,0.91656,0.9576,0.80389,0.58578,0.32967,0.91021,0.001585,0.001585,0.001585
87,19682.1,0.58504,0.36639,0.92779,0.95375,0.91482,0.95854,0.80435,0.58544,0.32948,0.91018,0.001486,0.001486,0.001486
88,19901.6,0.57963,0.36393,0.92348,0.95397,0.91248,0.95705,0.80549,0.58531,0.32949,0.91002,0.001387,0.001387,0.001387
89,20120.3,0.58078,0.36493,0.92155,0.95512,0.91064,0.95879,0.80537,0.58544,0.32923,0.90994,0.001288,0.001288,0.001288
90,20339,0.57487,0.35838,0.92067,0.95616,0.90975,0.9582,0.806,0.58511,0.32922,0.90987,0.001189,0.001189,0.001189
91,20587,0.50421,0.27752,0.87351,0.95536,0.91054,0.95808,0.80585,0.58507,0.32943,0.9099,0.00109,0.00109,0.00109
92,20805.1,0.49645,0.26895,0.87285,0.95427,0.91263,0.95892,0.80573,0.58508,0.3294,0.90996,0.000991,0.000991,0.000991
93,21023.5,0.49252,0.2644,0.86937,0.95452,0.91221,0.95894,0.8062,0.58529,0.32908,0.91017,0.000892,0.000892,0.000892
94,21241.6,0.48838,0.26186,0.86686,0.95452,0.91234,0.95888,0.80605,0.58507,0.32914,0.9101,0.000793,0.000793,0.000793
95,21459.5,0.48125,0.25896,0.86385,0.9545,0.91138,0.95911,0.80603,0.58519,0.32874,0.91025,0.000694,0.000694,0.000694
96,21677.7,0.47394,0.2531,0.85867,0.95028,0.91363,0.95872,0.80586,0.58511,0.32869,0.9101,0.000595,0.000595,0.000595
97,21895.6,0.4729,0.25238,0.86117,0.94629,0.91703,0.95802,0.80634,0.5851,0.32877,0.91014,0.000496,0.000496,0.000496
98,22113.6,0.46935,0.25023,0.85893,0.94613,0.91795,0.95799,0.80647,0.58507,0.32851,0.91016,0.000397,0.000397,0.000397
99,22332.1,0.46488,0.24856,0.85746,0.947,0.918,0.95781,0.80678,0.58497,0.32857,0.91002,0.000298,0.000298,0.000298
100,22550.4,0.45994,0.24372,0.85662,0.9481,0.9192,0.95818,0.80665,0.58515,0.32852,0.90999,0.000199,0.000199,0.000199
